job_name,raw_time,job_length_seconds
3DS_FWT,7:59:57,28797
3DS_FWT,8:03:30,29010
3DS_FWT,8:07:53,29273
3DS_FWT,8:12:57,29577
3DS_FWT,8:20:06,30006
3DS_FWT,8:22:10,30130
3DS_FWT,8:31:23,30683
3DS_FWT,8:32:01,30721
3DS_FWT,8:34:54,30894
3DS_FWT,8:37:06,31026
3DS_FWT,8:45:17,31517
3DS_FWT,8:49:44,31784
3DS_FWT,8:52:45,31965
3DS_FWT,8:57:16,32236
3DS_FWT,9:02:47,32567
3DS_FWT,9:06:06,32766
3DS_FWT,9:06:23,32783
3DS_FWT,9:11:32,33092
3DS_FWT,9:18:16,33496
3DS_FWT,9:27:07,34027
3DS_FWT,9:35:58,34558
3DS_FWT,9:37:44,34664
3DS_FWT,9:44:25,35065
3DS_FWT,9:45:59,35159
3DS_FWT,9:53:28,35608
3DS_FWT,9:59:16,35956
3DS_FWT,10:06:14,36374
3DS_FWT,10:19:35,37175
3DS_FWT,10:31:31,37891
3DS_FWT,10:41:25,38485
3DS_FWT,10:47:37,38857
3DS_FWT,11:07:33,40053
3DS_FWT,11:10:50,40250
3DS_FWT,11:33:43,41623
3DS_FWT,11:58:57,43137
3DS_FWT,12:40:28,45628
3DS_FWT,12:54:42,46482
3DS_FWT,12:55:32,46532
3DS_FWT,13:01:42,46902
3DS_FWT,13:16:20,47780
3DS_FWT,13:26:47,48407
3DS_FWT,13:36:58,49018
3DS_FWT,13:37:04,49024
3DS_FWT,15:12:14,54734
3DS_FWT,16:16:03,58563
3DS_FWT,16:26:47,59207
3DS_FWT,16:30:58,59458
3DS_FWT,17:02:18,61338
3DS_FWT,17:32:17,63137
3DS_FWT,17:38:01,63481
3DS_FWT,20:07:11,72431
3DS_FWT,20:43:31,74611
3DS_FWT,21:51:28,78688
3DS_FWT,24:50:21,89421
3DS_GUPS,3:58:31,14311
3DS_GUPS,3:59:55,14395
3DS_GUPS,4:17:57,15477
3DS_GUPS,4:47:49,17269
3DS_GUPS,5:03:04,18184
3DS_GUPS,5:12:37,18757
3DS_GUPS,5:15:55,18955
3DS_GUPS,5:18:33,19113
3DS_GUPS,5:25:01,19501
3DS_GUPS,5:26:05,19565
3DS_GUPS,5:27:11,19631
3DS_GUPS,5:38:21,20301
3DS_GUPS,5:41:10,20470
3DS_GUPS,5:46:42,20802
3DS_GUPS,6:03:06,21786
3DS_GUPS,6:07:48,22068
3DS_GUPS,6:48:16,24496
3DS_GUPS,6:49:58,24598
3DS_GUPS,6:52:44,24764
3DS_GUPS,7:16:29,26189
3DS_GUPS,7:35:45,27345
3DS_GUPS,7:39:34,27574
3DS_GUPS,7:49:00,28140
3DS_GUPS,7:49:34,28174
3DS_GUPS,7:54:34,28474
3DS_GUPS,7:56:56,28616
3DS_GUPS,8:03:21,29001
3DS_GUPS,8:06:22,29182
3DS_GUPS,8:10:58,29458
3DS_GUPS,8:12:34,29554
3DS_GUPS,8:12:42,29562
3DS_GUPS,8:13:07,29587
3DS_GUPS,8:14:51,29691
3DS_GUPS,8:15:25,29725
3DS_GUPS,8:15:28,29728
3DS_GUPS,8:16:16,29776
3DS_GUPS,8:20:06,30006
3DS_GUPS,8:22:58,30178
3DS_GUPS,8:24:45,30285
3DS_GUPS,8:34:56,30896
3DS_GUPS,8:39:51,31191
3DS_GUPS,8:47:36,31656
3DS_GUPS,8:51:06,31866
3DS_GUPS,8:52:28,31948
3DS_GUPS,9:01:36,32496
3DS_GUPS,9:04:32,32672
3DS_GUPS,9:07:49,32869
3DS_GUPS,9:07:55,32875
3DS_GUPS,9:17:58,33478
3DS_GUPS,9:21:16,33676
3DS_GUPS,9:25:50,33950
3DS_GUPS,9:27:09,34029
3DS_GUPS,9:40:02,34802
3DS_GUPS,9:40:15,34815
3DS_GUPS,9:50:22,35422
3DS_GUPS,10:18:11,37091
3DS_GUPS,10:41:58,38518
3DS_GUPS,11:47:13,42433
3DS_GUPS,11:49:56,42596
3DS_GUPS,12:13:31,44011
3DS_GUPS,12:51:57,46317
3DS_GUPS,12:55:19,46519
3DS_GUPS,13:14:49,47689
3DS_GUPS,14:34:07,52447
3DS_GUPS,14:46:52,53212
3DS_GUPS,17:50:29,64229
3DS_HISTO,0:01:57,117
3DS_HISTO,0:23:57,1437
3DS_HISTO,0:24:27,1467
3DS_HISTO,0:24:49,1489
3DS_HISTO,0:25:05,1505
3DS_HISTO,0:25:21,1521
3DS_HISTO,0:25:31,1531
3DS_HISTO,0:25:35,1535
3DS_HISTO,0:25:38,1538
3DS_HISTO,0:25:42,1542
3DS_HISTO,0:26:01,1561
3DS_HISTO,0:26:08,1568
3DS_HISTO,0:26:10,1570
3DS_HISTO,0:26:19,1579
3DS_HISTO,0:26:25,1585
3DS_HISTO,0:26:41,1601
3DS_HISTO,0:26:49,1609
3DS_HISTO,0:27:02,1622
3DS_HISTO,0:27:06,1626
3DS_HISTO,0:27:13,1633
3DS_HISTO,0:27:23,1643
3DS_HISTO,0:27:27,1647
3DS_HISTO,0:27:40,1660
3DS_HISTO,0:27:55,1675
3DS_HISTO,0:27:55,1675
3DS_HISTO,0:28:08,1688
3DS_HISTO,0:28:16,1696
3DS_HISTO,0:28:22,1702
3DS_HISTO,0:29:09,1749
3DS_HISTO,0:29:12,1752
3DS_HISTO,0:29:59,1799
3DS_HISTO,0:30:27,1827
3DS_HISTO,0:30:47,1847
3DS_HISTO,0:30:51,1851
3DS_HISTO,0:31:05,1865
3DS_HISTO,0:31:50,1910
3DS_HISTO,0:32:05,1925
3DS_HISTO,0:32:17,1937
3DS_HISTO,0:32:27,1947
3DS_HISTO,0:32:32,1952
3DS_HISTO,0:32:34,1954
3DS_HISTO,0:32:39,1959
3DS_HISTO,0:32:55,1975
3DS_HISTO,0:33:09,1989
3DS_HISTO,0:33:20,2000
3DS_HISTO,0:33:25,2005
3DS_HISTO,0:33:51,2031
3DS_HISTO,0:33:52,2032
3DS_HISTO,0:33:53,2033
3DS_HISTO,0:34:11,2051
3DS_HISTO,0:34:12,2052
3DS_HISTO,0:34:15,2055
3DS_HISTO,0:34:32,2072
3DS_HISTO,0:34:39,2079
3DS_HISTO,0:34:53,2093
3DS_HISTO,0:35:00,2100
3DS_HISTO,0:35:07,2107
3DS_HISTO,0:35:12,2112
3DS_HISTO,0:35:33,2133
3DS_HISTO,0:35:36,2136
3DS_HISTO,0:35:49,2149
3DS_HISTO,0:35:49,2149
3DS_HISTO,0:35:50,2150
3DS_HISTO,0:35:53,2153
3DS_HISTO,0:35:55,2155
3DS_HISTO,0:36:17,2177
3DS_HISTO,0:36:41,2201
3DS_HISTO,0:36:45,2205
3DS_HISTO,0:36:59,2219
3DS_HISTO,0:37:04,2224
3DS_HISTO,0:37:13,2233
3DS_HISTO,0:37:31,2251
3DS_HISTO,0:37:39,2259
3DS_HISTO,0:38:00,2280
3DS_HISTO,0:38:00,2280
3DS_HISTO,0:38:06,2286
3DS_HISTO,0:38:38,2318
3DS_HISTO,0:38:42,2322
3DS_HISTO,0:38:46,2326
3DS_HISTO,0:39:00,2340
3DS_HISTO,0:39:39,2379
3DS_HISTO,0:39:51,2391
3DS_HISTO,0:40:17,2417
3DS_HISTO,0:40:29,2429
3DS_HISTO,0:40:48,2448
3DS_HISTO,0:41:10,2470
3DS_HISTO,0:41:15,2475
3DS_HISTO,0:41:26,2486
3DS_HISTO,0:42:13,2533
3DS_HISTO,0:42:31,2551
3DS_HISTO,0:42:33,2553
3DS_HISTO,0:42:36,2556
3DS_HISTO,0:42:45,2565
3DS_HISTO,0:43:28,2608
3DS_HISTO,0:43:30,2610
3DS_HISTO,0:43:58,2638
3DS_HISTO,0:44:35,2675
3DS_HISTO,0:45:07,2707
3DS_HISTO,0:46:14,2774
3DS_HISTO,0:49:05,2945
3DS_HISTO,0:49:16,2956
3DS_HISTO,0:49:53,2993
3DS_HISTO,0:50:24,3024
3DS_HISTO,0:50:38,3038
3DS_HISTO,0:51:20,3080
3DS_HISTO,0:52:07,3127
3DS_HISTO,0:52:11,3131
3DS_HISTO,0:52:33,3153
3DS_HISTO,0:54:00,3240
3DS_HISTO,0:54:05,3245
3DS_HISTO,0:54:40,3280
3DS_HISTO,0:55:26,3326
3DS_HISTO,0:55:28,3328
3DS_HISTO,0:55:59,3359
3DS_HISTO,0:56:09,3369
3DS_HISTO,0:56:39,3399
3DS_HISTO,0:58:12,3492
3DS_HISTO,0:58:28,3508
3DS_HISTO,0:58:36,3516
3DS_HISTO,0:59:25,3565
3DS_HISTO,0:59:59,3599
3DS_HISTO,1:00:29,3629
3DS_HISTO,1:01:08,3668
3DS_HISTO,1:01:16,3676
3DS_HISTO,1:01:41,3701
3DS_HISTO,1:02:48,3768
3DS_HISTO,1:04:42,3882
3DS_HISTO,1:08:35,4115
3DS_HISTO,1:10:16,4216
3DS_HISTO,1:11:06,4266
3DS_HISTO,1:11:54,4314
3DS_HISTO,1:11:59,4319
3DS_HISTO,1:12:04,4324
3DS_HISTO,1:13:11,4391
3DS_HISTO,1:13:58,4438
3DS_HISTO,1:14:34,4474
3DS_HISTO,1:16:19,4579
3DS_HISTO,1:17:02,4622
3DS_HISTO,1:17:57,4677
3DS_HISTO,1:18:35,4715
3DS_HISTO,1:21:06,4866
3DS_HISTO,1:24:22,5062
3DS_HISTO,1:26:58,5218
3DS_HISTO,1:27:13,5233
3DS_HISTO,1:27:44,5264
3DS_HISTO,1:28:18,5298
3DS_HISTO,1:29:39,5379
3DS_HISTO,1:29:58,5398
3DS_HISTO,1:31:31,5491
3DS_HISTO,1:32:59,5579
3DS_HISTO,1:34:37,5677
3DS_HISTO,1:35:16,5716
3DS_HISTO,1:35:31,5731
3DS_HISTO,1:35:35,5735
3DS_HISTO,1:35:36,5736
3DS_HISTO,1:36:33,5793
3DS_HISTO,1:37:46,5866
3DS_HISTO,1:38:06,5886
3DS_HISTO,1:38:53,5933
3DS_HISTO,1:39:35,5975
3DS_HISTO,1:40:36,6036
3DS_HISTO,1:42:28,6148
3DS_HISTO,1:44:51,6291
3DS_HISTO,1:47:49,6469
3DS_HISTO,1:47:52,6472
3DS_HISTO,1:50:04,6604
3DS_HISTO,1:51:18,6678
3DS_HISTO,1:52:12,6732
3DS_HISTO,1:54:13,6853
3DS_HISTO,2:06:58,7618
3DS_HISTO,2:07:19,7639
3DS_HISTO,2:13:03,7983
3DS_HISTO,2:13:08,7988
3DS_HISTO,2:20:02,8402
3DS_HISTO,2:20:16,8416
3DS_HISTO,2:20:30,8430
3DS_HISTO,2:25:45,8745
3DS_HISTO,2:28:41,8921
3DS_HISTO,2:35:29,9329
3DS_HISTO,2:35:46,9346
3DS_HISTO,2:47:59,10079
3DS_HISTO,3:09:31,11371
3DS_HISTO,3:23:38,12218
3DS_HISTO,3:26:11,12371
3DS_HISTO,3:30:48,12648
3DS_HS,0:00:01,1
3DS_HS,1:21:14,4874
3DS_HS,1:42:42,6162
3DS_HS,1:49:37,6577
3DS_HS,2:08:57,7737
3DS_HS,2:20:16,8416
3DS_HS,3:10:21,11421
3DS_HS,3:21:13,12073
3DS_HS,3:57:15,14235
3DS_HS,4:37:57,16677
3DS_HS,5:50:31,21031
3DS_HS,5:59:29,21569
3DS_HS,6:49:20,24560
3DS_HS,8:22:54,30174
3DS_JPEG,0:01:53,113
3DS_JPEG,2:29:56,8996
3DS_LIB,0:26:23,1583
3DS_LIB,0:26:29,1589
3DS_LIB,0:26:33,1593
3DS_LIB,0:26:49,1609
3DS_LIB,0:27:59,1679
3DS_LIB,0:28:09,1689
3DS_LIB,0:28:13,1693
3DS_LIB,0:29:11,1751
3DS_LIB,0:32:34,1954
3DS_LIB,0:32:53,1973
3DS_LIB,0:32:58,1978
3DS_LIB,0:33:57,2037
3DS_LIB,0:34:22,2062
3DS_LIB,0:36:08,2168
3DS_LIB,0:36:09,2169
3DS_LIB,0:36:15,2175
