user,group,jobname,length
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,15
ramarty,ad-reu,runscript_casestudy.txt,16
ramarty,ad-reu,runscript_casestudy.txt,16
ramarty,ad-reu,runscript_casestudy.txt,17
ramarty,ad-reu,runscript_casestudy.txt,22
ramarty,ad-reu,runscript_casestudy.txt,36
ramarty,ad-reu,runscript_casestudy.txt,37
ramarty,ad-reu,runscript_casestudy.txt,43
ramarty,ad-reu,runscript_casestudy.txt,81
ramarty,ad-reu,runscript_casestudy.txt,81
ramarty,ad-reu,runscript_casestudy.txt,88
ramarty,ad-reu,runscript_casestudy.txt,93
ramarty,ad-reu,runscript_casestudy.txt,95
ramarty,ad-reu,runscript_casestudy.txt,89
ramarty,ad-reu,runscript_casestudy.txt,92
ramarty,ad-reu,runscript_casestudy.txt,92
ramarty,ad-reu,runscript_casestudy.txt,103
ramarty,ad-reu,runscript_casestudy.txt,111
ramarty,ad-reu,runscript_casestudy.txt,116
ramarty,ad-reu,runscript_casestudy.txt,133
ramarty,ad-reu,runscript_casestudy.txt,133
ramarty,ad-reu,runscript_casestudy.txt,139
ramarty,ad-reu,runscript_casestudy.txt,120
ramarty,ad-reu,runscript_casestudy.txt,122
ramarty,ad-reu,runscript_casestudy.txt,122
ramarty,ad-reu,runscript_casestudy.txt,123
ramarty,ad-reu,runscript_casestudy.txt,124
ramarty,ad-reu,runscript_casestudy.txt,128
ramarty,ad-reu,runscript_casestudy.txt,130
ramarty,ad-reu,runscript_casestudy.txt,132
ramarty,ad-reu,runscript_casestudy.txt,132
ramarty,ad-reu,runscript_casestudy.txt,136
ramarty,ad-reu,runscript_casestudy.txt,137
ramarty,ad-reu,runscript_casestudy.txt,137
ramarty,ad-reu,runscript_casestudy.txt,139
ramarty,ad-reu,runscript_casestudy.txt,146
ramarty,ad-reu,runscript_casestudy.txt,146
ramarty,ad-reu,runscript_casestudy.txt,147
ramarty,ad-reu,runscript_casestudy.txt,148
ramarty,ad-reu,runscript_casestudy.txt,150
ramarty,ad-reu,runscript_casestudy.txt,151
